Canoe Variant,Loadcase 1 Score,Loadcase 2 Score,Loadcase 3 Score,Average Score
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",2.43892133,2.694086377,3.23740078,2.790136163
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",2.475066456,2.595898757,3.293461796,2.788142336
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",2.475066456,2.595898757,3.293461796,2.788142336
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",2.38927934,2.694086377,3.23740078,2.773588833
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",2.38927934,2.694086377,3.23740078,2.773588833
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",3.139753265,1.859786323,3.32028021,2.773273266
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",3.139753265,1.859786323,3.32028021,2.773273266
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.3, 0.0, 0.0, 0.18, 0.6, 16.0)",2.680280614,3.540094075,2.061626651,2.760667113
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.3, 0.2, 0.0, 0.18, 0.6, 16.0)",2.680280614,3.540094075,2.061626651,2.760667113
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.420220949,2.916974845,2.907359271,2.748185022
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.420220949,2.916974845,2.907359271,2.748185022
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.385811761,2.772534859,3.010017189,2.722787937
